dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/ab3s5x	50c9509d-22c7-4a22-a47d-8c48425ef4a7	iNaturalist Research-grade Observations		3770
10.15468/5nilie	8a863029-f435-446a-821e-275f4f641165	Observation.org, Nature data from around the World		682
10.15468/njmmp7	2bf7b2c0-34dc-4458-8ee4-4f99fac03b33	Biodiversity4all Research-Grade Observations	Citizen Science Observation Dataset B, Tiago P (2020). Biodiversity4all Research-Grade Observations. BioDiversity4All. Occurrence dataset https://doi.org/10.15468/njmmp7 accessed via GBIF.org on 2025-10-21.	109
10.15468/bxh354	db765f95-20f4-49ef-8fe4-b57228200a2e	Unveiling Azorean Pollinators: A Critical Step for Biodiversity and Conservation	Boieiro M, Oliveira R, Costa R, Borges P A V (2024). Unveiling Azorean Pollinators: A Critical Step for Biodiversity and Conservation. Version 1.2. Universidade dos Açores. Samplingevent dataset. http://ipt.gbif.pt/ipt/resource?r=pollinators_terceira&v=1.2	22
10.15468/uc1apo	6ac3f774-d9fb-4796-b3e9-92bf6c81c084	NABU|naturgucker	naturgucker.de. NABU|naturgucker. Occurrence dataset https://doi.org/10.15468/uc1apo accessed via GBIF.org on 2025-10-29.	10
10.15468/ag5j58	67301bd7-3844-4858-81a4-2f2cab5c42f5	Inventory of vascular plants and arthropods in Vale da Fonte agroforest plot.	Borges P A V, Dal Lago A, Petrone A, Soares A O, Lhoumeau S, Boieiro M (2025). Inventory of vascular plants and arthropods in Vale da Fonte agroforest plot.. Version 1.1. Universidade dos Açores. Samplingevent dataset. https://ipt.gbif.pt/ipt/resource?r=biotavalefonte&v=1.1	4
10.15468/4g56tp	df12ca07-f133-4550-ab3b-fde13f0e76ba	Notebook, general observations		1
10.15468/slqqt8	e3ce628e-9683-4af7-b7a9-47eef785d3bb	Earth Guardians Weekly Feed		1
